,date,author,converation,replies number,likes number,rewteet number
0,2023-03-07 00:06:52+00:00,ylecun,"Training robots to imitate behaviors with 1-minute demonstrations.
From @LerrelPinto 's group at @nyuniversity",5,153,32
1,2023-03-06 18:57:08+00:00,ylecun,@augustwester Nice.,0,2,0
2,2023-03-06 15:42:32+00:00,ylecun,"@lizstocks @chris_jwala @pmarca I studied EE, specializing in VLSI design and control.
I took a lot of math and physics.
My PhD is in ""AI"" but did not involve studying what North-American universities consider the ""core"" of computer science (systems, algorithms, complexity theory, etc).",2,5,0
3,2023-03-06 15:35:55+00:00,ylecun,"New paper on VICReg-style self-supervised learning using information theory machinery.
Main tricks: network is deterministic locally linear &amp; each training sample is seen as a Gaussian fuzzy ball.
VICReg maximizes mutual_information[ representation(input), augmentation(input) ].",3,129,11
4,2023-03-06 01:33:41+00:00,ylecun,"@chris_jwala @pmarca My degree was in Electrical Engineering.
I never actually studied computer science.
Software technology changed radically in the 40 years since I graduated.
Machine learning did not exist as a field when I did my PhD.",6,39,2
5,2023-03-05 22:18:53+00:00,ylecun,"@fauxdinger I have a NeurIPS paper with Seth Lloyd.
Does that count?
https://t.co/AaozOZsRhm",2,2,1
6,2023-03-05 22:13:09+00:00,ylecun,"That invited talk at COLT 2013 indirectly caused MobilEye to start using ConvNets for its driving assistance system.
After hearing the talk, Shai Shalev-Schwartz started a sabbatical at MobilEye and convinced them to use ConvNets.

Slides: https://t.co/LDiFQwPFu1",1,73,15
7,2023-03-05 21:53:44+00:00,ylecun,"@Sulla2389 @pmarca Not nearly as much as in the US.
US-made drugs are N times less expensive in Europe than in the US.
Why?
European single-payer systems negotiate drug prices.
The US has a law that *specifically* forbids Medicare from negotiating drug prices.
That's corruption, plain &amp; simple.",1,36,1
8,2023-03-05 20:39:31+00:00,ylecun,"@pmarca . @erikbryn says the effect of a technological (r)evolution on productivity takes 15 to 20 years.
But for AI, I'm not sure when to start counting.",8,54,4
9,2023-03-05 20:25:16+00:00,ylecun,@ArthurB @andrewgwils Marcello.,0,3,0
10,2023-03-05 16:05:16+00:00,ylecun,"@andrewgwils I get chills with a lot of Bach pieces.
Oboe almost always does it for me.",4,22,1
11,2023-03-05 16:00:24+00:00,ylecun,Cute.,7,236,14
12,2023-03-05 15:50:21+00:00,ylecun,"@pmarca Your red/blue analysis is very US centric.
Arguably, European social democracies have not seen such increases in education, healthcare, and childcare because *they regulate more* (not less).
The US has done a *terrible* job at regulating these things in a half-ass way.
2/2",11,176,8
13,2023-03-05 15:47:02+00:00,ylecun,"@pmarca AI certainly won't cause lasting unemployment.
But technological evolutions displace jobs: the faster they take place, the more people are (temporarily) left behind because their skills are outdated for the new economy. Workforce retraining is of the essence.
1/2",32,461,30
14,2023-03-05 15:34:32+00:00,ylecun,"@balazskegl Religions, like all superstitions, are a case of causal inference going haywire.
Our desire to find causal explanations for everything drives us to invent causes for unexplained or unpredictible phenomena.
But inventing all-powerful deities as causes violates Ockham's Razor.",4,6,0
15,2023-03-05 15:27:27+00:00,ylecun,"@balazskegl Hahaha, that is ironic indeed.",0,4,0
16,2023-03-05 15:23:47+00:00,ylecun,@msalbergo @DaniloJRezende @KyleCranmer @FrankNoeBerlin @wgrathwohl Very cool.,0,4,0
17,2023-03-05 15:15:21+00:00,ylecun,"@Roozbeh_Sanaei2 Which is why auto-regressive LLMs are a terrible model of thought.
They do seem to be a good model of language fluency.
AR-LLMs are like this tiny piece of the brain that controls speech production called the Broca area.
What's missing is the entire prefrontal cortex.",1,2,0
18,2023-03-05 15:06:06+00:00,ylecun,@drorhilman No.,0,1,0
19,2023-03-04 20:37:19+00:00,ylecun,Nice explanation.,8,283,43
20,2023-03-04 03:58:41+00:00,ylecun,"@truesteel23 @MetaAI It exists. It's called PyTorch.
And then there is this.
https://t.co/59nR2Mdsrz",2,30,0
21,2023-03-04 03:55:35+00:00,ylecun,"@jackythirdy @MetaAI It's called Microsoft Research (MSR).
It's been around since the mid 1990s and has done excellent work in many areas.",0,19,0
22,2023-03-04 03:53:36+00:00,ylecun,"@Tarun78354271 @MetaAI Apple has a long-held culture of extreme secrecy.
Even internally.",0,20,0
23,2023-03-04 03:52:28+00:00,ylecun,"@pranesh @sunil_abraham @MetaAI Because DeepMind keeps insisting that they operate independently from Google, strangely.
Googlers do not have access to DeepMind's code base nor buildings.",2,30,2
24,2023-03-04 02:47:57+00:00,ylecun,"True.
Although I was directly involved in a tiny portion of the AI/ML/NN stuff open sourced by Meta.",5,132,9
25,2023-03-03 23:07:09+00:00,ylecun,"At @MetaAI we favor publication quality over quantity.
That's why among the 100 most cited AI papers in 2022, @MetaAI has authored (or co-authored) 16, ranking 2nd just behind Google with 22.
Our research is having a large impact on the community.

(and NYU ranks nicely, too).",33,696,56
26,2023-03-03 22:57:01+00:00,ylecun,@govind_thattai @pkghosh99 Yes.,0,1,0
27,2023-03-03 22:55:55+00:00,ylecun,@conor_muldoon @yudapearl Penrose is wrong.,2,38,1
28,2023-03-03 21:47:36+00:00,ylecun,@EricSteinb The point is that their ability to do so is very limited.,1,1,0
29,2023-03-03 21:45:58+00:00,ylecun,"@yudapearl Indeed we do.
And for that, they need to be able to learn causal models of the world that allows them to predict the consequences of their actions.
This is a necessary component to the ability to reason and plan.",18,126,10
30,2023-03-03 21:41:55+00:00,ylecun,"@readmeye No.
I'm just a rationalist.
Because when magical thinking rules, people get hurt.
Organized religions are the ones that do have a globalist agenda, though.",4,80,2
31,2023-03-03 21:34:47+00:00,ylecun,@IntuitMachine 1943.,1,20,1
32,2023-03-03 21:34:06+00:00,ylecun,"@pkghosh99 Transformers are not biologically inspired.
But the ideas of differentiable associative memory (which transformers are based on), and dynamic routing (which transformers use) can be traced to neuroscience models of the hippocampus and perception.",1,17,1
33,2023-03-03 21:31:22+00:00,ylecun,@DavidBensh Not mentioning no hippocampus.,0,0,0
34,2023-03-03 21:31:02+00:00,ylecun,"@DavidBensh Yes, it's as if LLMs merely emulate the tiny areas of the brain concerned with language: the Broca and Wernicke areas, and are missing the entire prefrontal cortex.

Without a PFC-like structure, LLMs have very superficial world models and very limited reasoning abilities.",3,8,0
35,2023-03-03 21:22:53+00:00,ylecun,@kelvindotchan Self-fulfilling superstition.,0,19,0
36,2023-03-03 21:13:52+00:00,ylecun,"@naivebaesian @yudapearl Touché!
I wasn't joking about that part.",0,4,0
37,2023-03-03 18:45:23+00:00,ylecun,@naivebaesian @yudapearl My tweet literally says that I agree.,2,32,0
38,2023-03-03 18:03:22+00:00,ylecun,"&lt;joke&gt;
When I hear ""AI needs causal inference and reasoning"",
I can only agree.
But then humans aren't particularly good at causal inference either.
Otherwise astrology wouldn't be a thing.
Neither would religion.
&lt;/joke&gt;
https://t.co/5Q9PXuFaU3",83,851,78
39,2023-03-03 17:57:40+00:00,ylecun,"@kevinqz 1. Thanks for the kind words.
2. Not sure what you mean by constructivism.
3. This is just a joke. No feelings being expressed. Just funny facts.
4. If my motivation were to ""serve my ego"" I would have changed career many years ago when few people cared about my work.",0,10,0
40,2023-03-03 17:50:34+00:00,ylecun,"ConvNets are a decent model of how the ventral pathway of the human visual cortex works.
But LLMs don't seem to be a good model of how humans process language.
There longer-term prediction taking place in the brain.
Awesome work by the Brain-AI group at FAIR-Paris.",25,715,110
41,2023-03-02 19:25:05+00:00,ylecun,@andrewdfeldman @pmarca Protections against Kremlin-sponsored troll farms have been in place on FB for about 6 years.,2,7,0
42,2023-03-02 19:22:43+00:00,ylecun,"Funny exchange after a public lecture:
Lady: I'm using ChatGPT to produce horoscopes.
Me: perfect application for a writing assistant that makes stuff up.
Lady: hahaha, I agree!",59,2083,195
43,2023-03-01 23:16:12+00:00,ylecun,"@pmarca I drink one glass of good (i.e. French) wine with dinner.
Occasionally more than one.
One Cognac, Armagnac, or Whisky per week.",5,64,1
44,2023-03-01 14:19:36+00:00,ylecun,"@tunguz @verge The existence of these ""highly successful AI groups"" is precisely what makes the creation of this new product group possible.
They are involved in it.",2,74,2
45,2023-02-28 21:28:33+00:00,ylecun,"@sa_mous @BrivaelLp @TopherBR @huggingface @ClementDelangue @julien_c @AntoineBordes @armandjoulin @syhw @EXGRV It's the other way around: tech companies are attracted by places with high concentration of talents.
Talents are produced by top educational and research institutions.
Then the ecosystem feeds on itself.",2,3,0
46,2023-02-28 21:24:41+00:00,ylecun,Discussion between colleagues == bidirectional human prompt engineering.,34,538,50
47,2023-02-28 17:07:34+00:00,ylecun,@abhijithneil Lack of understanding of the world by the LLM.,1,17,0
48,2023-02-28 17:05:23+00:00,ylecun,@SelfSupervisedL Clearly.,0,2,0
49,2023-02-28 17:05:08+00:00,ylecun,"@david_picard Human Feedback will certainly improve the reliability on common questions.
But the distribution of questions has a very, very long tail.
So HF alone will mitigate but not fix the problems.",1,24,0
50,2023-02-28 16:50:01+00:00,ylecun,"Yes, the need for prompt engineering is a sign of lack of understanding.
No, scaling alone will not fix that.",35,356,45
51,2023-02-28 16:45:52+00:00,ylecun,"@davidwhogg Meta has a thing like that in-house called Rosetta.
I think it's not open source because it's used for content moderation and openness facilitates circumvention.
https://t.co/cJKMhOdye0",2,21,1
52,2023-02-27 13:44:09+00:00,ylecun,"Entities that throw our deepest thoughts back at us: a common theme in fiction, from Shakespeare's The Tempest, to the 1950's space opera Forbidden Planet, Tarkovsky's 1972 film Solaris, and several others after that.",7,147,20
53,2023-02-27 13:42:01+00:00,ylecun,"@CadeMetz Entities that throw our deepest thoughts back at us: a common theme in fiction, from Shakespeare's The Tempest, to the 1950's space opera Forbidden Planet, and Tarkovsky's 1972 film Solaris.",3,29,5
54,2023-02-26 17:05:14+00:00,ylecun,@PiR2_BA @lxbrun former FAIR-Paris engineering director and cofounder of Nabla.,1,7,0
55,2023-02-26 17:03:12+00:00,ylecun,"@artistexyz @JohnSmithNL83 I don't know who this Yann LeCunn is, but perhaps he and Gary Marcus got married since the last time the ChatGPT training set was collected.",1,0,0
56,2023-02-26 15:25:06+00:00,ylecun,"@Graverman__ @DrTBehrens @bindureddy Open-sourcing is very much Meta's DNA.
But there are few things that large companies care more about than bad press and attack on their reputation.",1,2,0
57,2023-02-26 15:23:09+00:00,ylecun,"@egrefen I know, I know.
But one shouldn't waste a bad joke by letting it stand without responding with a teaching moment.",0,4,0
58,2023-02-26 15:14:56+00:00,ylecun,"@FelixHill84 Well, actually, in most countries at the time, books could not be published without the king's approval.
So there was a form of RLHF: Royal Legislative Human Feedback.",6,74,0
59,2023-02-26 15:10:07+00:00,ylecun,"@rao2z Haha!
We already knew you were on ChatGPT for its fantastic reasoning abilities.",1,17,0
60,2023-02-26 14:16:16+00:00,ylecun,"@BrivaelLp @TopherBR @huggingface @ClementDelangue @julien_c FAIR-Paris has brought French scientists from the US back to Paris, such as @AntoineBordes , @armandjoulin , @syhw , @EXGRV and others.
It also attracted scientists from all over Europe to Paris, and gave the opportunity to many young French scientists to stay in France.",1,44,2
61,2023-02-26 14:07:59+00:00,ylecun,"- A number of them went through École Polytechnique and ENS, but not all.
- A big chunk went through the MVA (Master Vision Apprentissage at ENS Cachan).
- And a bunch of them did are (or are still doing) their PhD as resident students at FAIR-Paris under the CIFRE system.",8,98,9
62,2023-02-26 13:59:24+00:00,ylecun,"@egrefen No GPUs in 1988.
We ran our OCR demos on DSP cards.
And we eventually bought a large parallel machine from Intel (i860 based IIRC). But the software sucked and it became an expensive doorstop.",2,15,0
63,2023-02-26 13:54:58+00:00,ylecun,Almost all the members of the LLaMA team are located at FAIR-Paris.,15,397,27
64,2023-02-26 13:43:41+00:00,ylecun,"@neilturkewitz @EMostaque @bindureddy Indeed.
But then again, if people had not listened so much to the critics of nuclear energy in the 1970s, we may not have as much of a climate change problem to deal with.",5,67,3
65,2023-02-26 02:14:43+00:00,ylecun,"When I asked my boss what the story was, he said:
""At Bell Labs, you don't get famous by saving money!""",10,263,6
66,2023-02-26 02:12:58+00:00,ylecun,"During my postdoc at U of Toronto in 87/88 the CS dept received a new Sun4 shared by students and faculty.
Before I moved to Bell Labs, my future boss asked me what computer I wanted. I said ""the Sun-4 is great""
When I arrived, I had a Sun4 JUST FOR ME!
LeNet was trained on it.",8,401,12
67,2023-02-25 20:06:26+00:00,ylecun,"@bindureddy Because last time we made an LLM available to everyone (Galactica, designed to help scientists write scientific papers), people threw vitriol at our face and told us this was going to destroy the fabric of society.",49,269,18
68,2023-02-25 19:28:01+00:00,ylecun,"@codewithmate Ian GoodDawg invented the G Adversarial Note, but MC S claims he invented all A-G Adversarial Chords in 1991.",1,5,0
69,2023-02-25 19:18:57+00:00,ylecun,@HeiKo51112349 It would never get through peer review.,0,3,0
70,2023-02-25 14:29:05+00:00,ylecun,"@JohnSmithNL83 As I have said numerous times over the last few months, hallucinations are an inevitable property of auto-regressive LLMs.
That's not a major problem if you use them as writing aids or for entertainment purposes.
Making them factual and controllable will require a major redesign.",5,42,6
71,2023-02-25 14:17:05+00:00,ylecun,@francoisfleuret The 13B model runs on a single high-end GPU.,1,14,0
72,2023-02-25 14:16:16+00:00,ylecun,@StillTr05207382 The 13B model can run on a single high-end GPU.,0,1,0
73,2023-02-25 13:05:02+00:00,ylecun,"- People will learn to better trace the provenance &amp; assess the reliability of what they see &amp; hear, most likely with the help of new technology.
- Current auto-regressive LLMs are famously uncontrollable, but new AI systems will be controllable, factual &amp; non toxic when desired.",31,238,25
74,2023-02-25 13:04:48+00:00,ylecun,"@ericschmidt - People will learn to better trace the provenance &amp; assess the reliability of what they see &amp; hear, most likely with the help of new technology.
- Current auto-regressive LLMs are famously uncontrollable, but new AI systems will be controllable, factual &amp; non toxic when desired.",23,127,12
75,2023-02-25 12:50:59+00:00,ylecun,Applies to all domains.,6,106,7
76,2023-02-24 22:13:38+00:00,ylecun,"Generated by LLaMA.
(prompt in bold).

See appendix of the LLaMA paper: https://t.co/0y2o2zTcqv https://t.co/wnYx7KobdV",63,727,58
77,2023-02-24 22:02:35+00:00,ylecun,"@ESYudkowsky Your guess is indeed blind and hence wrong.
Particularly on the whole ""Meta has no people competent to do the tricky stuff...""
Regardless, the difference between LLaMA and ChatGPT is fine tuning through human feedback
It's expensive &amp; time consuming, but not particularly tricky.",26,321,6
78,2023-02-24 21:54:14+00:00,ylecun,"@aindrei @BlancheMinerva That's false.
Linux is under the GPL and everyone ""touches"" it.",1,29,0
79,2023-02-24 21:50:32+00:00,ylecun,"@NinaDSchick Here it is: 🤣🤣🤣
[and this is merely the first laugh]",1,8,0
80,2023-02-24 20:31:19+00:00,ylecun,Blog post: https://t.co/zDA9h0VbHF,6,88,12
81,2023-02-24 20:22:37+00:00,ylecun,"@BlancheMinerva The code is licensed under the GPLv3, which permits commercial use.",8,54,1
82,2023-02-24 20:20:33+00:00,ylecun,@phillipburch GPLv3 permits commercial use.,2,7,0
83,2023-02-24 20:19:55+00:00,ylecun,@shockrobortyy GPLv3 permits commercial use.,3,15,0
84,2023-02-24 18:56:41+00:00,ylecun,Annoucement from the LLaMA's mouth.,7,125,17
85,2023-02-24 18:53:25+00:00,ylecun,https://t.co/Z5yftjwytT,5,102,8
86,2023-02-24 18:49:50+00:00,ylecun,Some results from the paper. https://t.co/PPPa9p8KyB,2,69,7
87,2023-02-24 18:44:36+00:00,ylecun,"LLaMA is a collection of foundation LLMs from 7B to 65B parameters.
They have been trained on trillions of tokens from publicly available datasets
- LLaMA-13B outperforms GPT-3 (175B) on most benchmarks
- LLaMA-65B is competitive with the best models, Chinchilla70B and PaLM-540B",6,220,20
88,2023-02-24 18:42:01+00:00,ylecun,"LLaMA is a new *open-source*, high-performance large language model from Meta AI - FAIR.

Meta is committed to open research and releases all the models the research community under a GPL v3 license.

- Paper: https://t.co/c2CJwpRcSL
- Github: https://t.co/fGCkA9Mol0",94,2472,450
89,2023-02-24 07:43:46+00:00,ylecun,@ShaidaSherpao @pmarca Because it's harder to produce stuff that works than stuff that doesn't.,1,8,0
90,2023-02-24 03:35:38+00:00,ylecun,"@michael_at_work @OuahabiAdnane I prefer the Lisp version:
(want 'People 'Python)",1,5,0
91,2023-02-24 03:32:13+00:00,ylecun,@SamForman979 @pmarca Hehe,7,24,2
92,2023-02-24 02:40:50+00:00,ylecun,"@mark94v1 @ziv_ravid Not too late.
One of my PhD students started her PhD in her late 20s after an undergrad degree in philosophy.
She now runs a big chunk of DeepMind.",0,4,0
93,2023-02-24 02:34:10+00:00,ylecun,"@pmarca Well, but there is a better way than RLHF-tuned auto-regressive LLMs....",10,44,5
94,2023-02-23 23:25:37+00:00,ylecun,"@percyliang Yes. I think RLHF is hopeless because the space of wrong answers is very large, and the space of tricky questions has a very long tail.",5,160,16
95,2023-02-23 20:46:15+00:00,ylecun,@ziv_ravid Happens all the time 🤣,0,24,0
96,2023-02-23 13:26:45+00:00,ylecun,"@vinodgansan Actually, the first implementations of neural nets on GPUs are from Patrice Simard's group at Microsoft around 2005-2006.
https://t.co/fye5HmJcrm",0,4,0
97,2023-02-23 13:18:26+00:00,ylecun,"@SebastianSeung They are available, but my web server has a configuration issue.
The password only shows up with https on Chrome, for some reason.
If you use http (no s) or another browser, there is no issue.",4,34,1
98,2023-02-23 13:16:27+00:00,ylecun,"@GaryMarcus Errrrr, Lisp was my main programming language from 1987 to 2010.
It was a home-grown Lisp interpreter/compiler that Léon Bottou and I wrote as a front-end to our neural net simuator SN, later open-sourced as Lush.
Not sure what your point/joke is about.
https://t.co/3yRKkuK4kI",4,29,2
99,2023-02-22 20:04:18+00:00,ylecun,"If using Lisp as a front-end language to a deep learning system is ""neuro-symbolic"" then, I've doing neuro-symbolic stuff since 1987 😅
https://t.co/3yRKkuK4kI",17,156,14
100,2023-02-22 13:45:53+00:00,ylecun,@eulerfx Might have been a good idea.,2,25,0
101,2023-02-22 13:45:29+00:00,ylecun,"Even hotter take: the fact that ML and Computer Vision researchers were largely using Matlab *held back progress for years*, mostly because implementing something like a ConvNet in 2005 Matlab would have been a total nightmare.",52,1343,105
102,2023-02-22 13:40:15+00:00,ylecun,"@mansantillan @vslira1 I certainly didn't forget about Lisp.
My main Deep Learning framework used a Lisp front-end until about 2010.
https://t.co/3yRKkuK4kI

Then we switched to Torch7, which used Lua as a front-end.",1,15,1
103,2023-02-22 13:35:48+00:00,ylecun,"@OuahabiAdnane We used Lua initially and started implementing a compiler for it.
But engineers hated it.
There were 3 other reasons to switch to Python:
1. People want Python
2. People want Python
3. People want Python",36,445,15
104,2023-02-22 13:32:52+00:00,ylecun,@yacineMTB We actually thought about JavaScript when we were trying to figure out what DL platform to use in the early days of FAIR.,3,31,0
105,2023-02-22 13:31:49+00:00,ylecun,@vslira1 Touché,1,48,0
106,2023-02-22 13:31:35+00:00,ylecun,@claycurry_ Never. I positively hate Matlab. I managed to never use it.,4,374,18
107,2023-02-22 13:27:44+00:00,ylecun,"Hotter take: ML would have advanced faster if another front-end language had been available and widely adopted instead of Python.
One that is interactive yet fast &amp; compilable, multithreaded (no GIL), isn't bloated, doesn't care about white spaces,...
E.g. Julia or some Lisp.",354,3596,422
108,2023-02-22 13:18:15+00:00,ylecun,"Learning to verify AI-generated code.
From @MetaAI",3,145,23
109,2023-02-21 08:42:03+00:00,ylecun,"@TheAssetLad Looks interesting.
But I haven't written anything with it.",0,2,0
110,2023-02-21 08:31:07+00:00,ylecun,@_rockt Cool!,0,3,1
111,2023-02-21 08:19:17+00:00,ylecun,"@RMajdoddin @amitmate2010 @AlanMorte @OpenAI No.
Meta released the *control* of PyTorch to the Linux Foundation.
That's a Good Thing.
Meta certainly didn't ""give up"" PyTorch, still being by far the largest contributor to it and a major user of it for research, development, and production.",1,2,0
112,2023-02-21 08:10:59+00:00,ylecun,Is it really surprising that a chatbot trained on human dialogues that are subject to Godwin's Law will itself abide by Godwin's Law and compare its interlocutor to Hitler when the conversation heats up?,40,296,41
113,2023-02-20 19:39:25+00:00,ylecun,"@npparikh ML is a set of methods for data science, among others.
Others include statistics, various fields of applied math, signal processing, computer vision, NLP, visualization, data management, DL, AI (broadly speaking), etc....
And then there is how you apply this to various fields.",0,3,0
114,2023-02-20 19:31:16+00:00,ylecun,"@KinasRemek Way earlier.
Synertec VIM-1 / SYM-1
https://t.co/ujlcAC4HpO",1,1,0
115,2023-02-20 19:27:41+00:00,ylecun,"@npparikh Data Science = deriving knowledge from data with the help of computers, statistics, and mathematics.",1,2,0
116,2023-02-20 17:08:10+00:00,ylecun,"@togelius Clearly, there are generative models that are not used to ""generate"" anything complicated.
For example, any classifier that uses Bayes rule P(y|x) = P(x|y)P(y) / P(x).
The P(x|y) model is generative.",3,52,2
117,2023-02-20 17:01:31+00:00,ylecun,"The NYU Center for Data Science was announced 10 years ago today.

In 10 years, NYU CDS has grown tremendously and now essentially operates as a department, with PhD &amp; Masters degree programs, as well as undergraduate majors and minors in Data Science.

https://t.co/7prLJJuEEf",5,88,7
118,2023-02-20 15:09:28+00:00,ylecun,"OK, I lied. #1 was not assembly but 6502 hexadecimal machine code.",9,120,0
119,2023-02-20 15:03:27+00:00,ylecun,"@amaralibey @togelius No. If the model doesn't produce *observed* variables, it's not generative.
Embeddings are hidden.",0,7,0
120,2023-02-20 15:02:07+00:00,ylecun,"@togelius You could.
In that case, ""generative"" would not just characterize the architecture but the combination of the architecture and the inference procedure.
It's like a graphical model / factor graphs: you infer the unknown variables by finding the value that maximizes the likelihood.",0,10,0
121,2023-02-20 14:48:10+00:00,ylecun,"@Nicolas99848452 @wangilisasi Caffe was written at UC Berkeley in C++, inspired from Lush (our DL framework with Lisp front-end).
Caffe2 was written in C++ to run neural nets in production at FB.
But most people at FAIR were using Torch (with the Lua front-end).
Eventually, we all standardized on PyTorch.",1,4,0
122,2023-02-20 14:28:05+00:00,ylecun,"@the_dmoti No, thank you.",0,1,0
123,2023-02-20 14:27:50+00:00,ylecun,@taneemishere Good point.,0,1,0
124,2023-02-20 14:22:43+00:00,ylecun,"@McAllesterDavid @nlpnoah Our hippocampus can store a lot more than 4096 tokens, though.",0,2,1
125,2023-02-20 14:06:08+00:00,ylecun,"@togelius It has already happened with cartoons.
Try getting any of the original Tex Avery cartoons from the 40s and 50s.",2,12,1
126,2023-02-20 14:04:19+00:00,ylecun,"@togelius Joint Embedding Architectures (e.g. Siamese nets) are non generative.
They can capture dependencies between x and y but cannot ""generate"" y from x, and certainly cannot provide an estimate p(y|x).
Almost all successful SSL methods in image recognition use JEA or JEPA.",5,125,5
127,2023-02-20 04:52:16+00:00,ylecun,"@Arian_Khorasani We were using a Lisp interpreter/compiler that we wrote as an interactive front-end language to our neural net simulator.
https://t.co/3yRKkuK4kI",2,11,0
128,2023-02-20 04:48:51+00:00,ylecun,@wangilisasi Never had any use for it.,2,17,0
129,2023-02-20 04:45:03+00:00,ylecun,@jasonfi There was nothing else I could afford in 1977.,2,91,1
130,2023-02-20 04:42:17+00:00,ylecun,"@MrSteph8 No, not really.",0,6,1
131,2023-02-20 04:41:24+00:00,ylecun,@tweet_prat Nope.,0,2,0
132,2023-02-20 04:41:11+00:00,ylecun,"@TonyZador @patrickmineault I don't think it's worth storing in the genome.
Any unsupervised learning procedure can learn V1-style oriented edge detectors within minutes.",1,4,0
133,2023-02-20 04:39:11+00:00,ylecun,"@KnutarMike Oh yeah, I taught myself to design CMOS digital circuits in high school, before programming.",2,10,0
134,2023-02-20 04:28:00+00:00,ylecun,"Oh, I forgot Prolog, somewhere between Pascal and Forth.",12,82,2
135,2023-02-20 04:25:58+00:00,ylecun,My favorite: Lisp.,20,137,7
136,2023-02-20 04:21:58+00:00,ylecun,"@MrSteph8 During the DjVu project, in the late 1990s, we had scanned, compressed, &amp; OCRed collections of books, such as the NIPS proceedings.
We wanted to distribute that on CDROM and provide search capabilities.
I wrote a complete search engine in JavaScript so it could run in a browser.",1,31,0
137,2023-02-20 04:14:05+00:00,ylecun,"@gemhodlr Oh, I don't have a crypto bro circle, thankfully.
Just random people making comments on my tweets.",3,7,0
138,2023-02-20 04:05:51+00:00,ylecun,"1. Assembly
2. Basic
3. Fortran
4. Pascal
5. Forth
6. C
7. Lisp
8. C++
9. Javascript
10. Lua
11. Python",119,626,39
139,2023-02-20 03:55:57+00:00,ylecun,"@McAllesterDavid @nlpnoah LLMs in their current form are stateless.
Their ""state"" is entirely determined by the prompt, hence immaterial.",17,90,11
140,2023-02-19 22:29:44+00:00,ylecun,"Govt: I can assure you, we have top men working on it.
Scientists: who?
Govt: top .... men.",18,201,17
141,2023-02-19 22:26:15+00:00,ylecun,"@tdietterich You are most welcome, Tom.
There is self-interest in this openness: a rising tide of AI progress lifts all boats.",2,30,1
142,2023-02-19 22:24:17+00:00,ylecun,@rao2z And our widely advertised openness caused Google to open up a bit more.,5,33,5
143,2023-02-19 20:43:55+00:00,ylecun,"@pfhgetty @DavidBensh Indeed. Although transformers arcitectures pre-trained with self-supervised learning have been *massively* deployed by both Meta &amp; Google for many applications, such as translation &amp; content moderation, filtering, &amp; ranking.
The transition from research to product was very fast.",1,19,0
144,2023-02-19 20:39:31+00:00,ylecun,"Much of the world realized the existence and the potential impact of generative AI in the last few months with ChatGPT and StableDiffusion.
But the AI R&amp;D community has been at it for several years.
And venture investment for at least 2 years.",13,216,34
145,2023-02-19 20:03:27+00:00,ylecun,"@nimdoc I have a monochrome full frame (ASI6200MM), but that requires a filter wheel, which is not really usable with a RASA scope (the camera is in front of the window).
I also have a color full frame (ASI6200MC) but it's defective. I get no red channel 😢",0,1,0
